key	name	types	stats	bst	primary	innates	moves	stat_source	mechanics	sprite_package	sprite_binding
R0010	Butterfree — Alternate (Form 1)	Bug/Psychic	60/45/50/90/80/70	395	Compound Eyes, Tinted Lens, Analytic	Keen Eye, Magic Bounce, Compound Eyes	20	INHERITED_SPECIES_BUTTERFREE	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0019	Pidgey — Alternate (Form 2)	Electric/Flying	40/45/40/35/35/56	251	Keen Eye, Motor Drive, Gale Wings	Self Sufficient, Competitive, Lightning Rod	17	INHERITED_SPECIES_PIDGEY	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0020	Pidgeotto — Alternate (Form 2)	Electric/Flying	63/60/55/50/50/71	349	Keen Eye, Motor Drive, Gale Wings	Self Sufficient, Competitive, Lightning Rod	19	INHERITED_SPECIES_PIDGEOTTO	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0021	Pidgeot — Alternate (Form 2)	Electric/Flying	83/80/75/70/70/101	479	Keen Eye, Motor Drive, Gale Wings	Self Sufficient, Competitive, Lightning Rod	21	INHERITED_SPECIES_PIDGEOT	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0022	Pidgeot — Mega Alternate (Form 3)	Electric/Flying	83/80/80/135/80/121	579	Keen Eye, Motor Drive, Gale Wings	Self Sufficient, Competitive, Lightning Rod	21	CANON_MEGA_SPREAD_FOR_ALTERNATE_MEGA	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0048	Vulpix — Alternate (Form 2)	Fire/Ghost	38/41/40/50/65/65	299	Flash Fire, Infiltrator, Flame Body	Tough Claws, Cursed Body, Flame Body	18	INHERITED_SPECIES_VULPIX	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0080	Poliwag — Alternate (Form 1)	Water/Poison	40/50/40/40/40/90	300	Water Absorb, Merciless, Swift Swim	Self Sufficient, Poison Touch, Swift Swim	14	INHERITED_SPECIES_POLIWAG	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0081	Poliwhirl — Alternate (Form 1)	Water/Poison	65/65/65/50/50/90	385	Water Absorb, Merciless, Swift Swim	Self Sufficient, Poison Touch, Swift Swim	14	INHERITED_SPECIES_POLIWHIRL	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0082	Poliwrath — Alternate (Form 1)	Water/Poison	90/95/95/70/90/70	510	Water Absorb, Merciless, Swift Swim	Self Sufficient, Poison Touch, Swift Swim	16	INHERITED_SPECIES_POLIWRATH	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0084	Politoed — Alternate (Form 1)	Water/Poison	90/75/75/90/100/70	500	Water Absorb, Merciless, Swift Swim	Self Sufficient, Poison Touch, Swift Swim	18	INHERITED_SPECIES_POLITOED	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
